,Date,Stephen Curry,Andrew Wiggins,Jordan Poole,Klay Thompson,Draymond Green,Otto Porter Jr.,Kevon Looney,Damion Lee,Andre Iguodala,Gary Payton II,Jonathan Kuminga,Nemanja Bjelica,Juan Toscano-Anderson,Moses Moody,Chris Chiozza,Jeff Dowtin,Quinndary Weatherspoon
0,2021-10-19,36.18,25.73,25.07,0.0,29.93,11.58,15.47,29.05,22.97,0.12,0.0,25.92,12.38,5.57,0.0,0.0,0.0
1,2021-10-21,37.55,30.75,25.18,0.0,33.72,18.28,14.12,29.38,23.6,0.05,0.0,16.42,7.25,3.7,0.0,0.0,0.0
2,2021-10-24,35.27,31.2,31.9,0.0,34.38,24.03,18.93,22.6,0.0,17.28,0.0,9.75,14.65,0.0,0.0,0.0,0.0
3,2021-10-26,32.3,30.7,29.28,0.0,32.08,17.38,18.07,25.97,19.3,4.92,0.0,7.6,17.1,0.77,4.53,0.0,0.0
4,2021-10-28,40.67,37.4,23.88,0.0,37.62,19.8,10.7,32.62,25.4,8.72,0.0,13.85,14.35,0.0,0.0,0.0,0.0
5,2021-10-30,27.18,24.83,31.35,0.0,25.5,17.3,18.28,0.0,17.25,6.2,6.07,20.28,8.42,20.77,16.57,0.0,0.0
6,2021-11-03,35.42,28.75,32.43,0.0,34.8,11.33,14.62,15.72,17.4,17.43,1.85,12.55,13.95,1.85,0.0,1.85,0.0
7,2021-11-05,29.75,26.17,27.85,0.0,24.5,16.92,11.07,20.9,17.4,17.55,7.23,17.7,14.72,8.23,0.0,0.0,0.0
8,2021-11-07,26.82,29.8,29.83,0.0,22.37,18.38,16.3,23.3,0.0,19.62,1.48,14.2,20.32,12.08,5.47,0.0,0.0
9,2021-11-08,35.03,26.02,31.63,0.0,29.85,0.0,17.37,17.75,19.77,21.27,6.85,13.1,14.55,2.95,0.0,3.87,0.0
10,2021-11-10,34.1,31.72,36.93,0.0,21.23,14.48,28.93,0.0,24.9,15.62,0.0,19.05,6.78,5.22,0.97,0.0,0.0
11,2021-11-12,34.22,29.33,31.78,0.0,28.02,15.35,20.45,0.0,18.22,20.85,15.68,15.55,4.3,6.23,0.0,0.0,0.0
12,2021-11-14,35.7,32.17,28.6,0.0,32.45,15.77,20.3,14.88,24.53,15.35,9.83,10.42,0.0,0.0,0.0,0.0,0.0
13,2021-11-16,29.25,22.13,28.17,0.0,28.72,17.02,14.63,21.68,19.05,15.97,18.78,11.53,5.42,7.65,0.0,0.0,0.0
14,2021-11-18,35.38,24.15,23.62,0.0,29.82,19.95,19.45,22.98,0.0,15.18,6.75,23.45,15.97,0.88,2.42,0.0,0.0
15,2021-11-19,0.0,36.52,37.42,0.0,0.0,0.0,26.5,16.27,0.0,29.22,11.65,21.4,37.02,8.02,16.0,0.0,0.0
16,2021-12-03,33.4,29.88,31.87,0.0,30.45,24.18,14.78,7.65,0.0,26.42,0.0,15.2,26.17,0.0,0.0,0.0,0.0
17,2021-12-04,36.87,30.92,23.2,0.0,32.83,0.0,13.12,30.87,0.0,12.67,0.0,13.37,32.02,0.0,14.15,0.0,0.0
18,2021-11-21,37.07,32.68,30.67,0.0,31.98,22.42,26.28,7.75,0.0,0.0,7.63,3.93,17.55,1.55,20.48,0.0,0.0
19,2021-12-06,30.97,29.95,32.33,0.0,28.5,19.67,12.58,23.42,0.0,17.52,12.0,11.1,12.97,4.5,0.0,4.5,0.0
20,2021-12-08,33.35,32.82,34.62,0.0,32.45,26.25,17.55,13.95,0.0,12.7,0.0,19.75,16.57,0.0,0.0,0.0,0.0
21,2021-11-24,34.92,33.77,33.17,0.0,28.38,19.55,22.62,14.58,0.0,17.57,4.25,6.08,25.12,0.0,0.0,0.0,0.0
22,2021-11-26,38.07,34.0,34.57,0.0,34.3,21.23,20.05,0.0,0.0,11.75,0.0,10.3,23.2,0.0,12.53,0.0,0.0
23,2021-12-11,36.23,36.63,36.57,0.0,28.5,18.35,25.13,10.1,10.6,12.33,0.77,13.08,10.93,0.77,0.0,0.0,0.0
24,2021-11-28,34.78,36.12,30.7,0.0,30.07,25.77,13.52,0.0,0.0,12.0,2.75,11.68,21.57,2.53,18.52,0.0,0.0
25,2021-12-13,35.35,34.1,28.67,0.0,31.03,25.02,27.02,19.48,0.0,9.02,6.02,8.8,13.53,1.97,0.0,0.0,0.0
26,2021-12-14,34.72,33.68,34.12,0.0,31.8,0.0,23.72,17.2,14.43,9.95,10.27,16.97,13.15,0.0,0.0,0.0,0.0
27,2021-11-30,35.97,33.28,34.98,0.0,32.42,30.02,17.38,0.0,0.0,15.53,0.12,15.57,12.7,0.0,12.03,0.0,0.0
28,2021-12-17,35.25,36.07,0.0,0.0,31.27,16.75,21.13,18.18,24.07,9.93,3.9,15.9,5.08,10.13,12.33,0.0,0.0
29,2021-12-18,0.0,0.0,0.0,0.0,0.0,0.0,23.82,34.7,0.0,20.15,36.12,25.12,31.23,25.08,26.27,17.52,0.0
30,2021-12-20,36.23,0.0,0.0,0.0,33.18,29.48,16.42,30.13,24.15,18.47,6.48,15.22,16.32,2.1,11.77,0.0,0.0
31,2021-12-23,37.32,0.0,0.0,0.0,33.58,30.28,18.12,0.0,0.0,33.38,10.92,22.17,26.08,10.88,17.27,0.0,0.0
32,2021-12-25,37.2,0.0,0.0,0.0,34.08,29.45,27.87,0.0,0.0,30.38,20.82,19.83,18.1,0.0,8.32,0.0,13.95
33,2021-12-28,39.08,31.98,0.0,0.0,0.0,25.67,26.38,0.0,23.85,29.08,16.63,18.28,22.63,0.0,6.4,0.0,0.0
34,2022-01-01,35.52,38.1,16.88,0.0,0.0,36.17,30.78,0.0,23.9,28.17,6.25,12.4,11.83,0.0,0.0,0.0,0.0
35,2022-01-03,32.02,34.12,26.18,0.0,36.23,18.82,25.13,10.68,0.0,30.05,6.85,10.85,8.75,0.0,0.0,0.0,0.32
36,2022-01-05,36.07,32.5,24.0,0.0,31.8,0.0,21.47,18.75,0.0,24.22,12.37,14.48,19.7,1.55,1.55,0.0,1.55
37,2022-01-06,0.0,31.93,32.57,0.0,0.0,23.97,19.65,29.62,20.28,14.02,20.2,21.25,0.0,23.07,3.45,0.0,0.0
38,2022-01-09,36.52,33.97,24.43,19.92,0.12,19.73,29.48,0.0,24.87,19.48,0.0,12.82,18.62,0.0,0.0,0.0,0.0
39,2022-01-11,38.68,33.55,22.23,19.62,0.0,28.38,18.38,9.05,20.93,22.73,0.0,11.9,7.35,7.18,0.0,0.0,0.0
40,2022-01-13,29.25,27.63,24.38,20.57,0.0,14.9,15.32,23.33,13.4,4.92,19.23,15.32,17.97,0.0,13.78,0.0,0.0
41,2022-01-14,27.62,27.65,28.5,0.0,0.0,19.2,24.15,26.7,10.63,0.0,25.6,23.85,14.1,0.0,12.0,0.0,0.0
42,2022-01-16,0.0,29.0,33.22,22.72,0.0,25.52,24.63,24.22,20.42,0.0,33.0,14.62,7.53,0.0,5.13,0.0,0.0
43,2022-01-18,28.55,27.63,20.92,22.3,0.0,22.0,23.4,12.48,0.0,13.88,24.87,17.85,14.53,7.6,3.98,0.0,0.0
44,2022-01-20,43.95,38.03,24.67,23.1,0.0,0.0,28.17,14.0,31.32,17.4,15.37,14.13,14.87,0.0,0.0,0.0,0.0
45,2022-01-21,38.93,34.8,31.52,0.0,0.0,26.9,31.92,20.55,0.0,21.18,15.23,15.98,2.92,0.0,0.0,0.0,0.0
46,2022-01-23,35.03,34.95,34.38,0.0,0.0,30.57,27.57,23.93,0.0,17.43,8.35,20.43,7.35,0.0,0.0,0.0,0.0
47,2022-01-25,28.97,25.75,26.28,25.63,0.0,19.73,22.48,23.98,0.0,11.47,17.77,18.3,7.25,7.2,5.13,0.0,0.0
48,2022-01-27,38.35,35.95,24.05,26.98,0.0,26.47,24.17,13.78,0.0,14.57,17.73,16.07,1.85,0.0,0.0,0.0,0.0
49,2022-01-29,35.52,37.18,27.6,26.78,0.0,27.73,29.65,14.35,0.0,19.22,10.48,0.0,11.45,0.0,0.0,0.0,0.0
50,2022-01-31,37.95,33.67,26.12,26.28,0.0,0.0,26.17,9.02,0.0,23.65,10.73,0.0,20.72,24.58,1.12,0.0,0.0
51,2022-02-01,0.0,0.0,33.98,0.0,0.0,0.0,22.98,37.07,0.0,16.9,28.98,0.0,21.05,36.87,27.07,0.0,15.1
52,2022-02-03,31.67,27.73,25.25,23.75,0.0,0.0,20.88,27.3,0.0,11.55,25.93,0.0,19.82,23.83,0.0,0.0,2.28
53,2022-02-07,36.57,35.27,29.93,28.97,0.0,15.4,27.47,14.43,5.77,14.15,22.82,0.0,0.1,9.13,0.0,0.0,0.0
54,2022-02-09,29.65,27.73,32.47,0.0,0.0,14.9,22.62,27.13,0.0,22.62,22.83,0.0,19.0,21.05,0.0,0.0,0.0
55,2022-02-10,39.13,35.65,26.48,29.57,0.0,0.0,18.87,17.03,0.0,9.07,36.37,19.15,5.55,3.08,0.0,0.0,0.0
56,2022-02-12,36.6,32.88,24.98,30.02,0.0,23.65,28.5,15.35,0.0,11.02,25.23,11.47,0.22,0.0,0.0,0.0,0.0
57,2022-02-14,33.82,27.73,25.02,26.68,0.0,16.17,19.33,20.63,0.0,11.3,28.08,10.93,7.18,13.12,0.0,0.0,0.0
58,2022-02-16,39.1,36.28,22.33,31.13,0.0,22.57,27.35,0.0,0.0,25.1,20.53,15.6,0.0,0.0,0.0,0.0,0.0
59,2022-02-24,27.45,25.65,24.9,24.93,0.0,16.03,15.27,21.57,0.0,19.22,27.43,8.8,16.72,12.0,0.0,0.0,0.0
60,2022-02-27,38.07,33.97,19.13,0.0,0.0,21.83,26.15,13.37,0.0,26.72,17.38,16.37,1.63,25.38,0.0,0.0,0.0
61,2022-03-01,33.22,30.32,26.57,0.0,0.0,16.73,27.43,26.82,0.0,27.08,23.18,0.0,21.63,7.02,0.0,0.0,0.0
62,2022-03-03,40.43,37.03,26.52,28.23,0.0,20.52,25.18,0.0,0.0,21.23,17.38,7.25,0.52,15.7,0.0,0.0,0.0
63,2022-03-05,35.68,32.07,32.07,31.4,0.0,24.35,12.52,0.0,0.0,0.0,28.92,0.0,21.97,20.97,0.0,0.0,0.0
64,2022-03-07,0.0,0.0,34.15,0.0,0.0,0.0,29.22,26.13,0.0,0.0,29.2,18.2,21.58,36.47,29.33,0.0,15.72
65,2022-03-08,35.05,31.15,29.77,33.7,0.0,0.0,21.22,0.0,0.0,0.0,26.02,19.2,11.03,29.97,1.45,0.0,1.45
66,2022-03-10,37.97,33.92,34.25,33.43,0.0,0.0,27.38,5.97,0.0,0.0,21.87,20.43,6.7,18.08,0.0,0.0,0.0
67,2022-03-12,33.15,35.88,35.22,33.85,0.0,0.0,22.92,2.95,0.0,0.0,28.13,21.57,2.95,17.98,2.95,0.0,2.45
68,2022-03-14,35.43,0.0,32.48,33.22,20.12,22.42,23.58,0.0,0.0,0.0,27.88,24.42,1.95,18.5,0.0,0.0,0.0
69,2022-03-16,13.67,0.0,34.43,32.95,22.28,24.58,27.03,17.28,0.0,0.0,22.38,0.0,14.4,9.3,6.58,0.0,15.1
70,2022-03-20,0.0,33.07,36.28,38.3,18.22,29.37,17.38,0.0,0.0,0.0,23.47,24.65,0.0,0.0,19.27,0.0,0.0
71,2022-03-22,0.0,36.08,39.68,32.32,29.38,26.18,11.88,15.87,0.0,5.93,19.72,13.98,0.0,4.92,4.03,0.0,0.0
72,2022-03-23,0.0,37.28,39.03,0.0,0.0,0.0,28.93,30.82,0.0,26.75,29.75,19.05,2.05,17.35,8.93,0.0,0.0
73,2022-03-25,0.0,22.08,38.95,40.38,23.83,19.03,23.98,27.37,0.0,29.62,14.37,0.0,0.38,0.0,0.0,0.0,0.0
74,2022-03-27,0.0,34.77,39.5,36.82,25.52,26.58,24.17,17.8,0.0,21.02,13.83,0.0,0.0,0.0,0.0,0.0,0.0
75,2022-03-28,0.0,29.27,27.88,0.0,0.0,0.0,20.78,19.42,15.63,13.85,34.65,18.48,12.72,27.2,20.12,0.0,0.0
76,2022-03-30,0.0,32.68,36.5,33.58,31.47,28.78,14.5,0.0,15.98,21.3,5.4,19.13,0.0,0.67,0.0,0.0,0.0
77,2022-04-02,0.0,32.97,37.58,39.3,33.12,29.95,12.7,0.0,14.85,21.8,4.23,13.5,0.0,0.0,0.0,0.0,0.0
78,2022-04-03,0.0,36.02,33.83,0.0,23.97,0.0,14.63,27.58,0.0,19.07,31.32,30.28,19.5,2.45,0.0,0.0,1.35
79,2022-04-07,0.0,27.35,33.23,33.47,26.43,29.65,15.05,2.12,20.67,24.67,7.68,15.47,2.12,2.1,0.0,0.0,0.0
80,2022-04-09,0.0,34.93,34.27,0.0,31.68,25.07,12.12,23.23,17.28,23.22,21.88,16.32,0.0,0.0,0.0,0.0,0.0
81,2022-04-10,0.0,0.0,28.27,30.92,24.9,0.0,14.98,23.63,0.0,17.75,28.92,22.87,24.32,19.3,0.0,0.0,4.15
