,Date,Jimmy Butler,Kyle Lowry,Tyler Herro,Bam Adebayo,P.J. Tucker,Duncan Robinson,Gabe Vincent,Max Strus,Caleb Martin,Mychal Mulder,Victor Oladipo,Markieff Morris,Dewayne Dedmon,Omer Yurtseven,Nik Stauskas,KZ Okpala,Marcus Garrett,Javonte Smart,Chris Silva,Kyle Guy,Haywood Highsmith,Udonis Haslem,Zylan Cheatham,Mario Chalmers,Aric Holman
0,2021-10-21,29.03,24.47,24.2,23.17,21.97,23.5,12.45,18.12,8.25,0.0,0.0,18.0,15.02,8.25,0.0,8.25,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-10-23,40.28,0.0,41.17,39.35,35.67,36.95,24.55,16.63,0.0,0.0,0.0,16.75,13.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-10-25,32.92,31.18,29.52,29.03,21.2,27.47,1.63,19.65,0.0,0.0,0.0,25.17,17.33,1.63,0.0,1.63,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-10-27,37.18,34.15,27.4,30.15,31.95,31.6,0.85,12.87,0.85,0.0,0.0,14.3,17.0,0.85,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-10-29,36.45,36.32,31.88,35.72,22.53,26.2,0.0,19.83,0.0,0.0,0.0,19.58,11.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-10-30,30.05,29.3,31.85,0.0,25.85,26.52,4.98,16.5,26.23,0.0,0.0,20.15,17.28,3.48,0.0,4.98,0.0,0.0,0.0,0.0,0.0,2.82,0.0,0.0,0.0
6,2021-11-02,33.13,35.7,34.8,32.7,30.38,23.92,1.73,0.0,17.02,0.0,0.0,13.63,13.57,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,0.0,0.0,0.0
7,2021-11-04,38.25,28.05,29.0,29.78,31.72,35.92,3.73,0.0,9.05,0.0,0.0,19.35,11.42,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-11-06,35.97,36.47,34.38,35.72,24.38,22.62,0.0,0.0,18.4,0.0,0.0,19.78,12.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-11-08,37.73,37.43,30.72,31.07,21.47,27.47,2.72,0.0,11.15,0.0,0.0,20.67,14.28,2.65,0.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2021-11-10,12.0,46.52,42.02,33.62,38.43,45.27,13.32,0.0,14.62,0.0,0.0,0.0,9.75,4.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08,0.0,0.0,0.0
11,2021-11-11,0.0,37.98,38.85,39.87,27.28,26.7,23.4,17.05,20.73,0.0,0.0,0.0,8.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2021-11-13,0.0,35.02,37.48,36.75,33.22,34.02,14.83,22.75,14.78,0.0,0.0,0.0,11.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2021-11-15,0.0,32.85,36.87,0.0,30.77,31.57,19.9,22.03,16.93,0.0,0.0,0.0,29.38,4.63,0.0,15.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2021-11-17,36.57,0.0,36.98,0.0,20.8,25.63,27.13,21.03,23.07,0.0,0.0,0.0,25.45,2.83,0.0,11.82,1.33,0.0,0.0,0.0,0.0,7.35,0.0,0.0,0.0
15,2021-12-01,0.0,28.22,36.5,0.0,23.1,20.07,27.63,27.93,27.63,0.0,0.0,0.0,30.68,3.65,0.0,14.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2021-11-18,34.2,35.18,0.0,30.15,31.8,26.57,25.25,20.07,23.62,0.0,0.0,0.0,9.07,1.37,0.0,1.37,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2021-12-03,0.0,38.43,34.38,0.0,30.83,29.5,27.63,13.65,17.52,0.0,0.0,0.0,22.55,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15,0.0,0.0,0.0
18,2021-11-20,38.47,36.03,30.48,29.43,34.2,19.5,0.0,24.78,17.87,0.0,0.0,0.0,9.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2021-12-04,0.0,27.87,32.5,0.0,17.47,25.93,28.82,23.85,28.97,0.0,0.0,0.0,24.3,23.48,0.0,6.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2021-12-06,24.88,39.87,28.5,0.0,24.45,22.15,24.38,6.18,31.08,0.0,0.0,0.0,20.65,16.58,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2021-11-23,34.77,35.12,32.92,30.98,22.15,23.15,18.3,0.0,25.6,0.0,0.0,0.0,17.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2021-12-08,0.0,39.0,28.02,0.0,34.52,20.75,15.28,19.08,33.8,0.0,0.0,0.0,13.13,4.33,0.0,32.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2021-11-24,38.68,22.52,33.72,36.32,31.97,38.25,17.73,0.0,12.88,0.0,0.0,0.0,7.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2021-12-11,0.0,29.38,33.13,0.0,32.07,27.18,30.75,20.82,0.0,0.0,0.0,0.0,28.9,7.05,0.0,27.98,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2021-11-27,36.37,37.13,0.0,33.0,18.27,24.65,30.55,30.78,17.18,0.0,0.0,0.0,12.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2021-12-13,0.0,37.98,24.7,0.0,35.1,32.37,33.67,15.63,0.0,0.0,0.0,0.0,23.27,19.92,0.0,17.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2021-11-29,0.0,36.02,0.0,35.1,32.43,29.07,29.25,30.72,32.83,0.0,0.0,0.0,11.23,1.67,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2021-12-15,0.0,38.58,0.0,0.0,37.6,39.12,34.88,23.12,0.0,0.0,0.0,0.0,31.6,11.83,0.0,14.82,8.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2021-12-17,0.0,35.05,0.0,0.0,32.43,25.42,36.23,33.85,0.0,0.0,0.0,0.0,26.73,21.27,0.0,15.58,13.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2021-12-19,0.0,42.17,0.0,0.0,20.85,33.3,31.42,33.57,0.0,0.0,0.0,0.0,27.0,18.32,0.0,14.8,18.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2021-12-21,0.0,30.35,21.15,0.0,0.0,30.05,32.25,36.12,0.0,0.0,0.0,0.0,19.88,22.25,0.0,23.35,18.73,0.0,0.0,0.0,0.0,5.87,0.0,0.0,0.0
32,2021-12-23,0.0,37.78,34.17,0.0,0.0,21.13,33.43,40.92,0.0,0.0,0.0,0.0,5.32,24.58,0.0,11.58,19.38,0.0,0.0,0.0,0.0,11.7,0.0,0.0,0.0
33,2021-12-26,34.95,0.0,19.38,0.0,0.0,27.5,34.37,35.27,29.35,0.0,0.0,0.0,0.0,33.1,0.0,0.0,14.98,0.0,0.0,0.0,0.0,11.08,0.0,0.0,0.0
34,2021-12-28,35.63,0.0,35.33,0.0,0.0,35.4,34.78,0.0,28.57,0.0,0.0,0.0,0.0,32.48,0.0,15.52,22.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2021-12-31,35.3,36.78,37.6,0.0,0.0,0.0,0.0,0.0,37.53,0.0,0.0,0.0,0.0,29.33,10.77,0.0,0.0,0.0,14.62,23.55,14.52,0.0,0.0,0.0,0.0
36,2022-01-02,36.07,36.32,35.07,0.0,0.0,0.0,0.0,0.0,33.13,0.0,0.0,0.0,0.0,34.8,12.93,0.0,0.0,0.0,12.72,23.72,15.25,0.0,0.0,0.0,0.0
37,2022-01-03,27.73,38.52,41.55,0.0,27.93,0.0,0.0,0.0,35.77,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,10.08,25.08,0.0,0.0,0.0,0.0,0.0
38,2022-01-05,0.0,16.13,35.95,0.0,35.97,16.9,0.0,31.15,36.52,0.0,0.0,0.0,0.0,31.68,0.0,0.0,0.0,0.0,10.38,16.05,9.27,0.0,0.0,0.0,0.0
39,2022-01-08,0.0,34.9,33.57,0.0,28.92,28.72,0.0,21.05,29.85,0.0,0.0,0.0,0.0,34.05,0.0,0.0,0.0,0.0,13.55,12.87,2.53,0.0,0.0,0.0,0.0
40,2022-01-12,0.0,27.6,35.65,0.0,27.58,31.6,20.4,15.02,32.77,0.0,0.0,0.0,17.88,28.73,0.0,0.0,0.0,0.0,1.38,1.38,0.0,0.0,0.0,0.0,0.0
41,2022-01-14,32.55,36.02,31.82,0.0,32.55,18.0,6.07,20.35,20.88,0.0,0.0,0.0,14.25,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2022-01-15,35.25,34.62,32.45,0.0,32.3,17.38,0.0,28.45,17.15,0.0,0.0,0.0,18.82,23.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2022-01-17,36.33,0.0,34.47,31.68,26.65,17.58,26.63,28.98,21.35,0.0,0.0,0.0,16.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2022-01-19,15.23,0.0,0.0,32.45,33.98,23.27,36.87,32.2,32.37,0.0,0.0,0.0,15.43,0.12,0.0,0.0,0.0,0.0,0.1,17.98,0.0,0.0,0.0,0.0,0.0
45,2022-01-21,36.47,0.0,0.0,33.95,8.07,30.08,37.68,33.17,27.7,0.0,0.0,0.0,13.78,6.77,0.0,0.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,0.0
46,2022-01-23,38.6,0.0,0.0,32.83,29.97,41.83,31.98,29.22,23.27,0.0,0.0,0.0,8.02,0.0,0.0,0.0,0.0,0.0,0.0,4.28,0.0,0.0,0.0,0.0,0.0
47,2022-01-26,29.25,0.0,32.63,30.85,22.6,26.2,32.87,20.92,25.4,0.0,0.0,0.0,15.02,2.13,0.0,0.0,0.0,0.0,0.0,2.13,0.0,0.0,0.0,0.0,0.0
48,2022-01-28,37.32,0.0,33.67,35.98,28.53,25.83,32.93,14.25,19.47,0.0,0.0,0.0,12.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2022-01-29,52.45,0.0,44.72,45.43,41.28,19.92,45.4,26.35,21.85,0.0,0.0,0.0,17.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2022-01-31,0.0,0.0,29.48,31.62,0.0,26.82,28.97,40.57,26.37,0.0,0.0,0.0,14.42,0.0,0.0,0.0,0.0,0.0,18.55,18.17,0.0,5.05,0.0,0.0,0.0
51,2022-02-01,40.38,0.0,28.67,35.47,36.03,14.55,24.87,33.45,14.05,0.0,0.0,0.0,12.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2022-02-03,25.12,25.48,31.87,30.55,23.62,34.35,24.8,16.03,0.0,0.0,0.0,0.0,14.88,0.0,0.0,0.0,0.0,0.0,6.33,6.97,0.0,0.0,0.0,0.0,0.0
53,2022-02-05,29.3,31.12,29.13,27.62,23.57,27.45,23.97,0.0,24.33,0.0,0.0,0.0,17.27,3.1,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0
54,2022-02-07,29.72,30.07,0.0,24.22,22.68,28.62,28.12,24.43,21.42,0.0,0.0,0.0,15.92,7.87,0.0,0.0,0.0,0.0,0.0,6.95,0.0,0.0,0.0,0.0,0.0
55,2022-02-10,35.6,36.45,0.0,35.72,26.85,24.23,30.57,27.28,0.0,0.0,0.0,0.0,17.25,5.53,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
56,2022-02-12,34.17,36.42,23.45,37.03,29.5,24.75,24.17,19.55,0.0,0.0,0.0,0.0,10.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2022-02-15,37.85,38.08,0.0,33.05,30.02,20.35,29.38,20.52,0.0,0.0,0.0,0.0,0.0,14.95,0.0,0.0,0.0,0.0,0.0,0.0,15.77,0.0,0.0,0.0,0.0
58,2022-02-17,51.08,46.4,0.0,43.82,43.97,44.13,18.52,13.93,0.0,0.0,0.0,0.0,0.0,14.18,0.0,0.0,0.0,0.0,0.0,0.0,13.97,0.0,0.0,0.0,0.0
59,2022-02-25,33.62,35.58,30.63,34.92,31.67,13.67,23.65,6.85,16.33,0.0,0.0,0.0,0.0,13.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2022-02-26,29.88,34.75,33.82,34.45,18.82,17.62,27.93,0.0,29.18,0.0,0.0,0.0,13.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2022-02-28,28.55,0.0,30.3,28.53,24.55,21.83,32.82,22.8,24.53,0.0,0.0,0.0,14.67,4.8,0.0,0.0,0.0,0.0,0.0,3.3,3.3,0.0,0.0,0.0,0.0
62,2022-03-02,35.13,0.0,35.15,37.0,26.78,21.7,31.65,21.97,19.62,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2022-03-03,0.0,0.0,34.93,33.05,0.0,31.32,32.97,35.98,36.62,0.0,0.0,0.0,15.07,5.95,0.0,0.0,0.0,0.0,0.0,0.0,14.12,0.0,0.0,0.0,0.0
64,2022-03-05,33.23,0.0,34.15,31.35,25.57,17.8,29.28,27.18,21.27,0.0,0.0,0.0,15.48,1.17,0.0,0.0,0.0,1.17,0.0,1.17,1.17,0.0,0.0,0.0,0.0
65,2022-03-07,29.28,32.0,30.62,29.98,24.8,27.4,3.47,3.47,21.42,0.0,14.63,0.0,13.53,3.13,0.0,0.0,0.0,0.0,0.0,3.13,3.13,0.0,0.0,0.0,0.0
66,2022-03-09,0.0,31.6,30.68,29.9,25.3,31.35,29.68,12.2,9.67,0.0,16.65,0.0,14.08,4.02,0.0,0.0,0.0,0.0,0.0,0.0,4.83,0.0,0.0,0.0,0.0
67,2022-03-11,33.85,32.37,33.57,32.7,28.93,23.97,1.4,18.92,0.0,0.0,17.58,0.0,13.95,1.33,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
68,2022-03-12,0.0,37.4,36.5,33.47,23.28,16.5,25.37,31.28,0.0,0.0,0.0,17.02,14.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.58,0.0,0.0,0.0,0.0
69,2022-03-15,18.07,34.37,34.33,24.28,31.7,20.68,13.1,15.87,0.0,0.0,16.3,16.52,14.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2022-03-18,0.0,27.6,27.9,24.55,17.73,19.62,30.05,30.65,26.72,0.0,0.0,19.9,0.0,3.55,0.0,0.0,0.0,3.07,0.0,3.07,3.55,2.05,0.0,0.0,0.0
71,2022-03-21,34.8,36.23,29.77,36.38,25.88,26.25,0.0,16.97,22.07,0.0,0.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2022-03-23,40.52,38.02,0.0,33.88,35.68,32.92,0.0,14.93,10.0,0.0,19.92,4.4,9.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2022-03-25,37.02,36.0,0.0,31.92,28.07,23.5,0.0,30.03,21.45,0.0,0.0,15.93,16.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2022-03-26,25.0,25.3,31.77,24.12,22.7,13.37,0.0,16.77,25.3,0.0,25.07,0.0,15.9,7.98,0.0,0.0,0.0,0.0,0.0,0.0,6.73,0.0,0.0,0.0,0.0
75,2022-03-28,33.87,25.93,28.68,31.7,24.18,24.85,19.52,30.03,0.0,0.0,0.0,0.0,13.83,2.47,0.0,0.0,0.0,0.0,0.0,0.0,2.47,2.47,0.0,0.0,0.0
76,2022-03-30,36.8,35.68,32.07,33.42,27.13,15.28,13.1,31.93,0.0,0.0,0.0,0.0,14.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2022-04-02,35.05,27.37,29.28,25.83,26.87,23.67,20.63,24.33,0.0,0.0,0.0,0.0,19.18,2.98,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1.6,0.0,0.0,0.0
78,2022-04-03,0.0,34.55,36.4,36.18,0.0,12.8,0.0,29.15,26.1,0.0,27.45,25.55,0.0,11.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2022-04-05,35.73,0.0,33.88,30.62,21.78,27.23,22.92,18.63,26.22,2.13,0.0,0.0,0.0,15.45,0.0,0.0,0.0,2.13,0.0,0.0,3.27,0.0,0.0,0.0,0.0
80,2022-04-08,37.27,31.28,32.78,32.85,0.0,20.17,16.72,27.38,26.4,0.0,0.0,0.0,15.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2022-04-10,0.0,0.0,0.0,0.0,0.0,20.3,12.48,0.0,0.0,42.15,35.52,0.0,0.0,35.43,0.0,0.0,0.0,33.55,0.0,0.0,40.25,20.32,0.0,0.0,0.0
