,Date,Giannis Antetokounmpo,Jrue Holiday,Khris Middleton,Bobby Portis,Grayson Allen,Pat Connaughton,George Hill,Brook Lopez,Rayjon Tucker,Wesley Matthews,Donte DiVincenzo,Jordan Nwora,Serge Ibaka,Jevon Carter,DeMarcus Cousins,Langston Galloway,Semi Ojeleye,Rodney Hood,Greg Monroe,Javonte Smart,Justin Robinson,Lindell Wigginton,Sandro Mamukelashvili,Thanasis Antetokounmpo,DeAndre' Bembry,Georgios Kalaitzakis,Luke Kornet,Jeff Dowtin,Javin DeLaurier
0,2021-10-19,30.95,17.72,30.95,0.0,27.72,29.97,23.35,28.17,0.0,0.0,0.0,26.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02,0.0,7.03,12.4,0.0,1.27,0.0,0.0,0.0
1,2021-10-21,22.8,0.0,23.47,0.0,28.63,27.23,21.43,0.0,0.0,0.0,0.0,26.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.47,0.0,27.33,17.82,0.0,17.77,0.0,0.0,0.0
2,2021-10-23,30.4,25.42,35.0,0.0,26.02,36.95,25.18,0.0,0.0,0.0,0.0,20.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.77,0.0,5.8,21.6,0.0,0.0,0.0,0.0,0.0
3,2021-10-25,36.27,0.0,32.02,0.0,31.75,31.92,26.53,0.0,0.0,0.0,0.0,23.32,0.0,0.0,0.0,0.0,0.0,10.05,0.0,0.0,18.33,0.0,9.88,19.38,0.0,0.55,0.0,0.0,0.0
4,2021-10-27,34.88,0.0,34.18,15.35,29.92,30.48,30.38,0.0,0.0,0.0,0.0,20.72,0.0,0.0,0.0,0.0,12.4,13.15,0.0,0.0,10.53,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
5,2021-10-30,34.07,0.0,33.15,0.0,29.33,28.55,32.03,0.0,0.0,0.0,0.0,17.52,0.0,0.0,0.0,0.0,13.07,18.03,0.0,0.0,14.77,0.0,0.78,17.83,0.0,0.78,0.0,0.0,0.0
6,2021-10-31,34.92,0.0,0.0,19.17,31.27,28.67,30.45,0.0,0.0,0.0,0.0,23.52,0.0,0.0,0.0,0.0,0.0,10.98,0.0,0.0,24.28,0.0,4.68,32.07,0.0,0.0,0.0,0.0,0.0
7,2021-11-02,26.8,0.0,0.0,22.48,21.25,25.47,21.63,0.0,0.0,0.0,0.0,24.13,0.0,0.0,0.0,0.0,19.98,16.95,0.0,0.0,24.37,0.0,5.58,23.45,0.0,7.9,0.0,0.0,0.0
8,2021-11-05,30.5,20.32,0.0,24.35,31.17,27.63,25.02,0.0,0.0,0.0,0.0,23.53,0.0,0.0,0.0,0.0,18.82,16.58,0.0,0.0,4.0,0.0,0.0,18.03,0.0,0.0,0.0,0.0,0.0
9,2021-11-07,39.18,29.88,0.0,30.67,34.08,28.68,32.88,0.0,0.0,0.0,0.0,13.35,0.0,0.0,0.0,0.0,17.67,0.0,0.0,0.0,7.6,0.0,0.0,5.97,0.0,0.0,0.0,0.0,0.0
10,2021-11-09,36.22,31.2,0.0,35.38,32.83,24.02,32.37,0.0,0.0,0.0,0.0,14.68,0.0,0.0,0.0,0.0,22.23,0.0,0.0,0.0,11.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2021-11-10,37.67,30.3,0.0,24.1,28.1,31.32,33.03,0.0,0.0,0.0,0.0,18.43,0.0,0.0,0.0,0.0,28.57,5.63,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0
12,2021-11-12,0.0,40.7,0.0,41.23,34.6,34.85,38.33,0.0,0.0,0.0,0.0,20.35,0.0,0.0,0.0,0.0,31.05,12.12,0.0,0.0,0.0,0.0,0.0,11.77,0.0,0.0,0.0,0.0,0.0
13,2021-11-14,33.73,35.23,0.0,31.55,31.28,31.85,0.0,0.0,0.0,0.0,0.0,22.05,0.0,0.0,0.0,0.0,22.42,16.98,0.0,0.0,10.13,0.0,0.0,4.77,0.0,0.0,0.0,0.0,0.0
14,2021-11-17,36.28,38.8,30.08,28.52,30.67,31.63,22.23,0.0,0.0,0.0,0.0,7.57,0.0,0.0,0.0,0.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2021-12-01,37.68,37.78,32.88,26.22,30.33,26.53,28.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,0.0,0.0,5.83,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0
16,2021-12-02,0.0,37.28,35.13,30.1,32.28,30.73,27.87,0.0,0.0,0.0,0.0,4.47,0.0,0.0,0.0,0.0,0.0,8.45,0.0,0.0,0.0,0.0,22.65,10.98,0.0,0.0,0.0,0.0,0.0
17,2021-11-19,35.75,35.85,31.98,31.05,29.15,29.95,25.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.52,0.0,0.0,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2021-11-20,30.37,30.18,30.2,34.07,28.73,24.22,23.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.38,0.0,0.0,7.83,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
19,2021-12-04,0.0,32.27,29.67,29.52,0.0,28.68,0.0,0.0,0.0,11.98,0.0,3.6,0.0,0.0,11.45,0.0,0.0,27.2,0.0,28.58,0.0,0.0,21.08,15.97,0.0,0.0,0.0,0.0,0.0
20,2021-11-22,23.73,23.42,20.18,22.5,18.68,22.43,19.0,0.0,0.0,0.0,0.0,26.38,0.0,0.0,0.0,0.0,0.0,21.53,0.0,0.0,14.37,0.0,0.0,14.37,0.0,13.4,0.0,0.0,0.0
21,2021-12-06,27.35,36.82,35.92,30.78,25.97,28.4,0.0,0.0,0.0,14.58,0.0,0.0,0.0,0.0,17.85,0.0,0.0,12.68,0.0,9.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2021-12-08,32.6,36.8,35.13,30.13,25.25,31.17,0.0,0.0,0.0,11.52,0.0,0.0,0.0,0.0,13.42,0.0,0.0,12.95,0.0,11.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2021-11-24,31.17,34.45,28.12,31.1,24.27,23.78,26.63,0.0,0.0,0.0,0.0,16.17,0.0,0.0,0.0,0.0,0.0,14.43,0.0,0.0,2.53,0.0,2.75,2.3,0.0,2.3,0.0,0.0,0.0
24,2021-12-10,36.73,35.13,35.72,33.43,27.53,31.32,0.0,0.0,0.0,17.98,0.0,0.0,0.0,0.0,4.32,0.0,0.0,12.08,0.0,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2021-11-26,30.1,33.45,30.62,28.48,24.43,27.13,25.28,0.0,0.0,0.0,0.0,13.33,0.0,0.0,0.0,0.0,0.0,17.47,0.0,0.0,0.0,0.0,3.23,3.23,0.0,3.23,0.0,0.0,0.0
26,2021-12-12,32.42,34.22,31.88,29.9,28.75,23.88,13.88,0.0,0.0,0.0,0.0,8.7,0.0,0.0,11.77,0.0,0.0,23.03,0.0,0.77,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0
27,2021-11-28,32.67,31.0,29.6,26.43,30.13,29.47,29.07,0.0,0.0,0.0,0.0,5.45,0.0,0.0,0.0,0.0,0.0,21.65,0.0,0.0,0.57,0.0,3.4,0.0,0.0,0.57,0.0,0.0,0.0
28,2021-12-13,33.58,33.07,23.82,26.55,31.5,30.42,0.0,0.0,0.0,0.0,0.0,2.47,0.0,0.0,13.1,0.0,0.0,24.83,0.0,11.73,0.0,0.0,6.47,2.47,0.0,0.0,0.0,0.0,0.0
29,2021-12-15,0.0,32.98,0.0,28.12,29.78,30.85,21.33,0.0,0.0,0.0,0.0,27.08,0.0,0.0,0.0,0.0,0.0,19.72,0.0,13.02,0.0,0.0,15.83,21.28,0.0,0.0,0.0,0.0,0.0
30,2021-12-17,0.0,44.25,0.0,0.0,39.48,41.35,29.48,0.0,0.0,0.0,0.0,42.33,0.0,0.0,15.92,0.0,0.0,18.45,0.0,15.7,0.0,0.0,18.03,0.0,0.0,0.0,0.0,0.0,0.0
31,2021-12-18,0.0,0.0,0.0,0.0,0.0,19.38,21.53,0.0,0.0,0.0,0.0,42.07,0.0,0.0,27.2,0.0,17.9,0.0,0.0,44.48,0.0,0.0,42.25,25.18,0.0,0.0,0.0,0.0,0.0
32,2021-12-22,0.0,30.7,28.35,0.0,0.0,30.83,26.28,0.0,0.0,20.42,0.0,26.55,0.0,0.0,27.98,0.0,16.9,21.83,0.0,1.12,0.0,0.0,0.0,9.03,0.0,0.0,0.0,0.0,0.0
33,2021-12-23,0.0,34.32,31.53,0.0,18.48,30.18,25.9,0.0,0.0,18.47,0.0,27.73,0.0,0.0,27.85,0.0,9.6,15.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2021-12-25,29.8,37.05,35.78,22.28,25.7,17.68,21.22,0.0,0.0,17.67,15.68,0.0,0.0,0.0,17.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2021-12-28,29.57,34.12,31.47,28.72,23.37,21.87,24.23,0.0,0.0,14.38,15.72,0.0,0.0,0.0,15.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0
36,2021-12-30,30.92,33.15,32.92,26.27,22.55,21.53,16.1,0.0,0.0,21.75,18.7,0.0,0.0,0.0,16.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2022-01-01,32.2,33.47,0.0,21.17,30.77,28.75,20.17,0.0,0.0,15.88,0.0,18.78,0.0,0.0,18.13,0.0,0.0,12.28,0.0,2.8,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,2.8
38,2022-01-03,35.6,35.47,27.83,29.95,27.05,22.1,24.82,0.0,0.0,18.63,0.0,0.0,0.0,0.0,14.27,0.0,0.0,4.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2022-01-05,0.0,36.92,33.98,21.72,0.0,0.0,0.0,0.0,0.0,28.62,0.0,40.12,0.0,0.0,19.77,0.0,0.0,24.82,0.0,11.38,0.0,0.0,22.65,0.0,0.0,0.0,0.0,0.0,0.0
40,2022-01-07,26.78,0.0,30.03,32.03,0.0,0.0,0.0,0.0,0.0,29.67,0.0,30.83,0.0,0.0,0.0,20.38,10.88,26.28,0.0,3.87,0.0,0.0,15.17,8.1,0.0,0.0,3.0,2.97,0.0
41,2022-01-08,36.73,0.0,37.0,37.25,0.0,0.0,0.0,0.0,0.0,33.85,0.0,30.62,0.0,0.0,0.0,16.58,13.68,18.5,0.0,0.0,0.0,0.0,12.17,3.62,0.0,0.0,0.0,0.0,0.0
42,2022-01-10,35.0,0.0,36.77,34.73,0.0,23.23,0.0,0.0,0.0,29.28,16.1,28.88,0.0,0.0,0.0,11.53,0.0,13.25,0.0,0.0,0.0,0.0,11.22,0.0,0.0,0.0,0.0,0.0,0.0
43,2022-01-13,29.97,0.0,29.72,24.57,27.02,16.33,17.62,0.0,0.0,22.57,19.68,19.88,0.0,0.0,0.0,0.0,4.55,13.27,0.0,0.0,0.0,4.55,5.72,4.55,0.0,0.0,0.0,0.0,0.0
44,2022-01-15,35.48,0.0,36.93,33.53,27.63,20.02,26.58,0.0,0.0,30.0,16.9,4.67,0.0,0.0,0.0,0.0,0.0,8.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2022-01-17,36.98,0.0,35.2,32.33,28.67,26.8,31.37,0.0,0.0,20.82,21.48,6.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2022-01-19,31.22,21.68,35.82,32.22,25.83,25.73,30.13,0.0,0.0,18.73,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2022-01-21,36.67,26.87,35.53,27.02,20.38,26.87,26.43,0.0,0.0,18.15,22.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2022-01-22,0.0,32.12,33.62,32.88,0.0,29.23,29.7,0.0,0.0,17.52,24.5,22.22,0.0,0.0,0.0,0.0,0.0,12.62,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0
49,2022-01-26,29.33,31.68,35.37,32.45,0.0,32.3,22.57,0.0,0.0,0.0,28.37,15.07,0.0,0.0,0.0,0.0,1.9,3.97,0.0,0.0,0.0,0.0,5.05,1.95,0.0,0.0,0.0,0.0,0.0
50,2022-01-28,34.1,34.62,32.05,27.28,30.47,24.22,14.6,0.0,0.0,13.93,24.28,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,1.05,1.13,0.0,0.0,0.0,0.0,0.0
51,2022-01-30,30.78,31.77,26.95,23.4,31.03,19.88,0.0,0.0,0.0,17.67,18.3,13.02,0.0,0.0,0.0,0.0,5.92,5.92,0.0,0.0,0.0,5.92,3.43,6.02,0.0,0.0,0.0,0.0,0.0
52,2022-02-01,37.97,36.47,35.38,34.95,31.78,24.72,0.0,0.0,0.0,14.38,19.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43,0.0,0.0,0.0,0.0,0.0,0.0
53,2022-02-05,24.62,27.1,24.1,23.65,24.55,17.4,0.0,0.0,0.0,9.65,19.6,12.0,0.0,0.0,0.0,0.0,8.28,8.28,15.17,0.0,0.0,12.23,7.47,5.85,0.0,0.0,0.0,0.0,0.0
54,2022-02-06,30.8,35.53,32.15,29.23,0.0,28.43,0.0,0.0,0.0,21.67,21.17,12.32,0.0,0.0,0.0,0.0,0.0,13.62,14.48,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2022-02-08,35.32,36.87,33.62,32.55,27.42,23.7,0.0,0.0,0.0,14.0,19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.43,0.0,0.0,0.45,0.45,0.45,0.0,0.0,0.0,0.0,0.0
56,2022-02-10,29.78,33.82,32.6,28.25,24.92,16.63,0.0,0.0,0.0,14.47,0.0,14.87,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,17.65,5.88,7.83,0.0,0.0,0.0,0.0,0.0
57,2022-02-14,0.0,35.38,35.98,31.63,32.32,0.0,0.0,0.0,0.0,17.82,0.0,23.57,31.07,0.0,0.0,0.0,0.0,0.0,11.25,0.0,0.0,17.48,1.73,1.73,0.0,0.0,0.0,0.0,0.0
58,2022-02-15,36.13,36.63,33.08,28.23,15.98,0.0,0.0,0.0,0.0,0.0,0.0,26.38,24.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.22,10.32,0.88,0.0,0.0,0.0,0.0,0.0
59,2022-02-17,39.1,38.27,37.4,28.05,0.0,0.0,0.0,0.0,0.0,19.75,0.0,34.83,23.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.48,1.9,0.7,0.0,0.0,0.0,0.0,0.0
60,2022-02-26,36.22,39.0,36.13,36.03,22.33,0.0,0.0,0.0,0.0,27.75,0.0,7.37,15.18,9.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,10.53,0.0,0.0,0.0,0.0
61,2022-02-28,28.15,24.93,27.38,22.78,18.15,0.0,0.0,0.0,0.0,15.98,0.0,17.87,15.82,28.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.83,0.0,10.7,19.72,0.0,0.0,0.0,0.0
62,2022-03-02,34.4,38.25,36.25,31.73,23.93,0.0,0.0,0.0,0.0,28.42,0.0,5.08,18.73,11.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.43,0.0,0.0,0.0,0.0
63,2022-03-04,38.8,37.83,38.75,31.37,30.97,0.0,0.0,0.0,0.0,23.08,0.0,13.18,12.12,13.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.35,0.0,0.0,0.0,0.0
64,2022-03-06,31.22,38.4,35.88,32.27,31.52,0.0,0.0,0.0,0.0,0.0,0.0,26.47,21.63,13.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,8.5,0.0,0.0,0.0,0.0
65,2022-03-08,27.77,28.73,29.63,28.45,0.0,0.0,0.0,0.0,0.0,5.25,0.0,37.93,18.18,25.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62,8.9,3.93,20.18,0.0,0.0,0.0,0.0
66,2022-03-09,37.03,34.82,36.05,32.45,28.33,0.0,0.0,0.0,0.0,20.33,0.0,13.85,17.7,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,0.0,0.0,0.0
67,2022-03-12,34.02,33.3,35.3,21.73,28.32,0.0,0.0,0.0,0.0,23.32,0.0,10.5,17.23,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43,3.43,3.92,0.0,0.0,0.0,0.0
68,2022-03-14,33.87,36.95,35.13,28.43,23.52,0.0,13.53,14.53,0.0,25.63,0.0,0.0,7.2,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2022-03-16,34.9,34.65,33.98,29.65,23.07,0.0,17.13,15.37,0.0,20.4,0.0,0.0,17.68,12.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0
70,2022-03-19,0.0,23.58,25.83,25.57,21.48,20.32,4.43,20.45,0.0,16.68,0.0,20.88,21.03,27.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
71,2022-03-22,29.73,31.77,0.0,22.2,23.02,23.03,15.58,23.9,0.0,24.37,0.0,4.47,18.97,18.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47,0.0,0.0,0.0,0.0,0.0
72,2022-03-24,0.0,32.85,0.0,29.22,28.5,22.58,23.17,28.1,0.0,27.7,0.0,18.15,16.57,13.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2022-03-26,28.28,0.0,28.7,20.52,29.97,21.98,24.2,21.72,0.0,17.1,0.0,10.5,0.0,22.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33,4.38,4.38,0.0,0.0,0.0,0.0,0.0
74,2022-03-29,37.5,40.02,39.4,13.63,24.5,18.25,8.95,29.02,0.0,25.42,0.0,0.0,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2022-03-31,39.32,42.8,30.03,30.5,28.78,20.53,15.97,20.85,0.0,35.82,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2022-04-01,0.0,0.0,0.0,26.03,0.0,22.58,20.75,0.0,0.0,0.0,0.0,40.4,27.78,29.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9,22.78,25.03,0.0,0.0,0.0,0.0,0.0
77,2022-04-03,39.67,36.4,36.87,23.17,23.0,22.47,18.27,22.32,0.0,17.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2022-04-05,24.0,34.82,27.5,26.43,24.48,17.45,17.12,29.37,0.0,22.38,0.0,4.02,0.0,4.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,4.02,0.0,0.0,0.0,0.0,0.0
79,2022-04-07,38.07,38.93,39.33,26.9,0.0,20.63,14.38,23.57,0.0,27.23,0.0,0.0,0.0,10.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2022-04-08,27.68,26.82,28.3,21.6,0.0,23.53,16.2,21.07,2.4,21.65,0.0,5.95,11.28,13.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.85,5.95,5.95,0.0,0.0,0.0,0.0,0.0
81,2022-04-10,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,39.15,0.0,0.0,44.17,0.0,33.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.02,42.58,40.57,0.0,0.0,0.0,0.0,0.0
