,Date,Mikal Bridges,Devin Booker,Chris Paul,Deandre Ayton,Jae Crowder,Cameron Johnson,Cameron Payne,Torrey Craig,Landry Shamet,Frank Kaminsky,Aaron Holiday,JaVale McGee,Bismack Biyombo,Jalen Smith,Gabriel Lundberg,Elfrid Payton,Abdel Nader,Ish Wainright,Emanuel Terry,Justin Jackson,M.J. Walker,Chandler Hutchison,Paris Bass
0,2021-10-20,33.52,29.95,33.62,32.6,24.1,23.9,14.38,0.0,19.42,0.0,0.0,15.13,0.0,0.0,0.0,0.0,13.38,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-10-22,35.15,33.57,29.23,32.55,34.87,18.85,18.77,0.0,14.52,0.0,0.0,13.08,0.0,0.0,0.0,0.0,9.42,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-10-23,25.52,28.18,25.5,25.73,23.72,14.55,0.0,0.0,17.0,9.73,0.0,11.4,0.0,9.73,0.0,24.88,17.63,0.0,0.0,0.0,0.0,6.42,0.0
3,2021-10-27,33.43,36.53,29.73,33.75,31.95,22.87,0.0,0.0,18.95,0.0,0.0,14.2,0.0,0.0,0.0,13.32,5.27,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-10-30,30.47,35.32,36.73,24.23,33.1,24.58,0.0,0.0,17.53,0.0,0.0,18.18,0.0,8.58,0.0,11.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-11-02,41.8,33.75,36.07,0.0,32.3,21.3,0.0,0.0,12.52,28.5,0.0,19.18,0.0,0.0,0.0,11.62,2.93,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-11-04,30.05,34.13,34.38,25.8,26.83,23.33,0.0,0.0,18.68,5.55,0.0,16.52,0.0,0.0,0.0,13.62,11.08,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-11-06,30.98,34.1,35.45,0.0,31.02,19.55,12.55,0.0,17.87,29.43,0.0,17.98,0.0,0.0,0.0,0.0,11.07,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-11-08,34.77,32.37,25.83,0.0,27.65,21.45,22.17,0.0,15.97,21.88,0.0,25.97,0.0,0.0,0.0,0.0,11.92,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-11-10,38.62,37.43,36.65,0.0,30.93,21.73,16.02,0.0,0.0,31.52,0.0,16.48,0.0,0.0,0.0,0.0,10.62,0.0,0.0,0.0,0.0,0.0,0.0
10,2021-11-12,29.17,25.6,27.65,0.0,25.08,22.92,20.35,0.0,23.35,27.25,0.0,15.45,0.0,5.3,0.0,0.0,17.88,0.0,0.0,0.0,0.0,0.0,0.0
11,2021-11-14,30.73,31.55,29.5,0.0,23.85,27.1,18.5,0.0,18.2,23.42,0.0,24.58,0.0,0.0,0.0,0.0,12.57,0.0,0.0,0.0,0.0,0.0,0.0
12,2021-11-15,32.82,34.43,33.6,32.9,28.67,21.72,14.4,0.0,17.67,3.65,0.0,11.4,0.0,0.0,0.0,0.0,8.75,0.0,0.0,0.0,0.0,0.0,0.0
13,2021-11-17,36.45,35.0,36.83,35.67,27.8,21.47,12.5,0.0,17.22,0.0,0.0,11.88,0.0,0.0,0.0,0.0,5.18,0.0,0.0,0.0,0.0,0.0,0.0
14,2021-12-02,40.82,0.0,33.32,32.97,24.03,27.07,21.42,0.0,31.27,0.0,0.0,15.03,0.0,0.0,0.0,9.85,0.0,4.22,0.0,0.0,0.0,0.0,0.0
15,2021-11-19,36.58,30.57,33.53,29.25,26.92,22.28,14.47,0.0,20.57,0.0,0.0,15.98,0.0,0.78,0.0,0.0,7.5,0.78,0.0,0.0,0.0,0.78,0.0
16,2021-12-03,30.45,0.0,32.37,31.72,31.22,32.83,25.82,0.0,26.88,0.0,0.0,8.88,0.0,3.38,0.0,7.13,0.0,9.32,0.0,0.0,0.0,0.0,0.0
17,2021-11-21,33.32,27.9,24.37,26.13,24.05,23.42,21.45,0.0,23.93,0.0,0.0,14.32,0.0,5.98,0.0,8.17,0.0,4.68,0.0,0.0,0.0,2.28,0.0
18,2021-11-22,35.97,34.25,30.6,32.77,25.17,22.97,20.02,0.0,23.18,0.0,0.0,15.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2021-12-06,36.82,0.0,35.45,35.15,30.63,28.6,17.15,0.0,25.4,0.0,0.0,12.55,0.0,0.0,0.0,12.55,0.0,5.67,0.0,0.0,0.0,0.0,0.0
20,2021-11-24,34.4,38.7,32.28,27.3,28.62,20.55,21.83,0.0,15.97,0.0,0.0,20.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2021-11-26,38.58,35.45,30.23,32.13,20.45,27.55,17.77,0.0,19.97,0.0,0.0,13.87,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
22,2021-12-10,34.8,0.0,29.72,0.0,30.65,30.77,22.15,0.0,26.23,0.0,0.0,26.4,0.0,21.6,0.0,9.52,0.0,6.03,0.0,0.0,0.0,2.13,0.0
23,2021-11-27,40.72,31.77,35.95,31.23,29.58,19.05,20.43,0.0,15.13,0.0,0.0,16.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2021-12-13,32.72,0.0,33.3,0.0,24.65,34.18,28.58,0.0,25.98,0.0,0.0,25.17,0.0,0.0,0.0,17.97,0.0,14.82,0.0,0.0,0.0,2.63,0.0
25,2021-11-30,41.4,15.45,39.42,34.3,28.2,29.37,15.53,0.0,23.77,0.0,0.0,8.28,0.0,0.0,0.0,4.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2021-12-14,34.87,0.0,41.1,44.55,38.32,32.38,34.02,0.0,23.15,0.0,0.0,8.28,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2021-12-16,28.2,0.0,23.5,24.23,24.23,26.15,23.47,0.0,31.37,0.0,0.0,15.87,0.0,18.6,0.0,20.92,0.0,3.47,0.0,0.0,0.0,0.0,0.0
28,2021-12-19,30.42,26.43,24.08,23.7,21.48,21.4,24.87,0.0,22.25,0.0,0.0,15.72,0.0,8.58,0.0,15.95,0.0,5.12,0.0,0.0,0.0,0.0,0.0
29,2021-12-21,34.13,31.58,28.73,26.9,26.6,25.83,22.55,0.0,21.73,0.0,0.0,15.63,0.0,3.15,0.0,0.0,0.0,3.15,0.0,0.0,0.0,0.0,0.0
30,2021-12-23,28.33,35.13,31.68,30.88,31.0,24.37,17.32,0.0,17.5,0.0,0.0,17.12,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2021-12-25,37.7,40.35,37.55,30.55,31.83,20.53,18.1,0.0,10.4,0.0,0.0,12.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2021-12-27,32.37,37.05,35.4,0.0,0.0,36.4,24.38,0.0,13.98,0.0,0.0,22.27,0.0,29.17,0.0,8.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2021-12-29,32.87,35.73,31.72,0.0,0.0,23.15,30.58,0.0,28.47,0.0,0.0,23.37,0.0,24.63,0.0,0.0,0.0,0.0,1.37,0.0,0.0,8.12,0.0
34,2021-12-31,29.32,37.52,33.78,0.0,0.0,34.03,21.38,0.0,23.25,0.0,0.0,0.0,0.0,26.67,0.0,10.08,0.0,12.77,10.55,0.0,0.65,0.0,0.0
35,2022-01-02,25.3,28.95,26.32,0.0,0.0,29.68,22.95,0.0,23.55,0.0,0.0,0.0,17.92,23.73,0.0,13.57,0.0,8.57,6.28,0.0,7.73,0.0,5.45
36,2022-01-04,41.83,32.07,35.22,0.0,0.0,35.13,21.33,0.0,0.0,0.0,0.0,0.0,29.38,16.3,0.0,12.07,0.0,8.22,0.0,8.45,0.0,0.0,0.0
37,2022-01-06,39.5,33.47,34.35,0.0,0.0,35.47,17.77,0.0,0.0,0.0,0.0,0.0,13.28,32.78,0.0,14.53,0.0,11.07,0.0,5.85,0.0,0.0,1.93
38,2022-01-08,29.9,33.35,32.22,32.03,26.5,31.72,21.37,0.0,0.0,0.0,0.0,6.18,0.0,12.87,0.0,0.0,0.0,4.77,0.0,9.1,0.0,0.0,0.0
39,2022-01-11,40.87,36.13,33.25,30.03,34.97,0.0,14.75,0.0,13.87,0.0,0.0,13.85,4.67,17.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2022-01-14,30.47,35.27,32.93,29.93,30.92,0.0,23.88,0.0,20.13,0.0,0.0,16.77,0.0,17.08,0.0,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0
41,2022-01-16,29.97,29.58,27.0,7.62,23.3,0.0,31.0,0.0,25.43,0.0,0.0,15.33,13.97,14.85,0.0,6.78,0.0,15.17,0.0,0.0,0.0,0.0,0.0
42,2022-01-17,34.28,34.85,32.37,0.0,25.6,20.43,23.37,0.0,15.2,0.0,0.0,23.2,24.8,1.97,0.0,1.97,0.0,1.97,0.0,0.0,0.0,0.0,0.0
43,2022-01-20,37.18,38.3,36.68,0.0,32.65,20.47,18.93,0.0,10.07,0.0,0.0,17.82,27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2022-01-22,34.67,38.87,40.82,0.0,22.8,25.2,6.87,0.0,16.02,0.0,0.0,18.42,29.52,0.0,0.0,6.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2022-01-24,35.42,38.13,40.37,0.0,0.0,38.3,0.0,0.0,18.43,0.0,0.0,16.73,31.27,0.0,0.0,11.65,0.0,9.7,0.0,0.0,0.0,0.0,0.0
46,2022-01-26,44.67,39.57,36.83,0.0,0.0,36.42,0.0,0.0,11.77,0.0,0.0,0.0,29.37,18.62,0.0,11.15,0.0,11.58,0.0,0.0,0.0,0.0,0.0
47,2022-01-28,41.05,37.67,37.17,0.0,0.0,37.47,0.0,0.0,20.57,0.0,0.0,0.0,29.17,15.95,0.0,10.83,0.0,10.13,0.0,0.0,0.0,0.0,0.0
48,2022-01-30,39.92,37.62,39.72,0.0,0.0,35.78,0.0,0.0,17.0,0.0,0.0,13.98,22.02,0.0,0.0,13.68,0.0,20.28,0.0,0.0,0.0,0.0,0.0
49,2022-02-01,40.4,40.88,38.9,28.05,25.02,23.48,0.0,0.0,0.0,0.0,0.0,13.77,5.72,1.37,0.0,13.45,0.0,7.6,0.0,1.37,0.0,0.0,0.0
50,2022-02-03,40.05,38.43,38.93,24.45,33.58,29.12,0.0,0.0,0.0,0.0,0.0,16.08,0.0,3.5,0.0,10.0,0.0,5.85,0.0,0.0,0.0,0.0,0.0
51,2022-02-05,25.95,29.62,30.55,23.95,24.5,18.07,0.0,0.0,0.0,0.0,0.0,14.37,9.63,22.07,0.0,20.7,0.0,12.0,0.0,8.55,0.0,0.0,0.0
52,2022-02-07,35.67,37.67,33.85,23.47,34.7,21.53,0.0,0.0,0.0,0.0,0.0,22.5,1.2,9.13,0.0,17.88,0.0,1.2,0.0,1.2,0.0,0.0,0.0
53,2022-02-08,41.22,37.28,41.75,30.15,30.17,20.33,0.0,0.0,0.0,0.0,0.0,17.83,0.0,5.67,0.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2022-02-10,39.27,34.3,36.85,26.58,31.97,26.08,0.0,0.0,0.0,0.0,0.0,15.35,10.68,0.0,0.0,9.2,0.0,9.72,0.0,0.0,0.0,0.0,0.0
55,2022-02-12,29.58,29.38,26.35,25.03,24.7,25.7,0.0,22.95,0.0,0.0,8.98,13.98,7.47,0.0,0.0,21.65,0.0,4.22,0.0,0.0,0.0,0.0,0.0
56,2022-02-15,32.97,36.47,35.32,30.02,30.65,21.38,0.0,12.65,0.0,0.0,10.67,17.2,0.0,0.0,0.0,12.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2022-02-16,40.22,43.22,19.48,27.28,22.03,31.22,0.0,23.05,0.0,0.0,20.02,10.55,0.0,0.0,0.0,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2022-02-24,31.47,38.18,0.0,29.78,25.58,30.87,0.0,20.07,20.33,0.0,24.97,18.02,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0
59,2022-02-25,38.65,36.98,0.0,31.75,29.85,28.93,0.0,24.57,16.6,0.0,0.0,10.53,2.65,0.0,0.0,13.77,0.0,5.72,0.0,0.0,0.0,0.0,0.0
60,2022-02-27,38.0,39.68,0.0,34.42,34.37,35.27,0.0,12.52,11.17,0.0,21.05,13.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2022-03-02,28.95,0.0,0.0,25.7,24.92,24.15,20.12,23.08,22.52,0.0,27.88,13.7,8.6,0.0,0.0,5.25,0.0,15.13,0.0,0.0,0.0,0.0,0.0
62,2022-03-04,38.55,0.0,0.0,34.2,30.23,28.22,32.35,16.27,28.03,0.0,15.4,6.5,8.37,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0
63,2022-03-06,42.28,0.0,0.0,32.58,34.63,0.0,35.75,20.97,34.18,0.0,17.78,8.83,12.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2022-03-08,38.22,0.0,0.0,36.03,32.33,0.0,34.5,19.7,39.08,0.0,16.47,11.83,0.0,0.0,0.0,0.0,0.0,11.83,0.0,0.0,0.0,0.0,0.0
65,2022-03-09,34.78,33.33,0.0,29.83,30.52,0.0,31.37,15.93,25.67,0.0,15.23,15.6,2.57,0.0,0.0,2.57,0.0,2.57,0.0,0.0,0.0,0.0,0.0
66,2022-03-11,37.82,36.52,0.0,30.03,24.07,0.0,37.45,13.65,21.25,0.0,10.97,17.97,10.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2022-03-13,29.08,31.98,0.0,27.12,28.15,0.0,23.95,19.85,15.4,0.0,24.05,9.88,10.9,0.0,0.0,7.53,0.0,12.1,0.0,0.0,0.0,0.0,0.0
68,2022-03-15,36.38,29.95,0.0,23.25,21.9,0.0,26.9,28.27,19.72,0.0,21.88,21.25,3.5,0.0,0.0,3.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0
69,2022-03-16,43.5,36.45,0.0,31.28,0.0,0.0,31.67,34.03,15.48,0.0,16.33,15.77,5.68,0.0,0.0,0.65,0.0,9.15,0.0,0.0,0.0,0.0,0.0
70,2022-03-18,37.78,32.2,0.0,23.98,0.0,0.0,29.52,31.33,27.33,0.0,6.13,17.88,6.13,0.0,0.0,18.48,0.0,9.22,0.0,0.0,0.0,0.0,0.0
71,2022-03-20,50.17,37.37,0.0,27.05,21.72,0.0,0.0,31.37,30.5,0.0,22.8,17.4,8.33,0.0,0.0,18.03,0.0,0.27,0.0,0.0,0.0,0.0,0.0
72,2022-03-23,38.98,35.22,0.0,35.12,24.07,0.0,31.82,25.85,25.02,0.0,9.05,8.6,4.2,0.0,0.0,1.03,0.0,1.05,0.0,0.0,0.0,0.0,0.0
73,2022-03-24,38.12,38.93,30.07,32.63,29.15,0.0,17.93,19.3,18.5,0.0,0.0,10.3,5.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2022-03-27,40.87,34.93,36.15,30.75,29.5,0.0,15.48,18.5,16.57,0.0,0.0,0.0,17.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2022-03-30,40.5,37.43,32.82,35.37,34.0,0.0,15.23,17.85,18.13,0.0,0.0,0.0,8.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2022-04-01,32.88,37.25,31.8,25.35,28.17,17.52,17.18,10.75,16.92,0.0,0.0,22.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2022-04-03,30.47,0.0,30.47,0.0,0.0,31.57,16.63,21.97,31.22,0.0,5.45,22.75,22.33,0.0,4.23,10.68,0.0,12.23,0.0,0.0,0.0,0.0,0.0
78,2022-04-05,26.88,29.7,23.85,26.82,23.38,24.98,23.08,16.87,20.05,0.0,1.07,16.4,4.78,0.0,1.07,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.0
79,2022-04-06,21.58,0.0,0.0,0.0,0.0,31.88,21.52,22.12,27.62,0.0,18.45,18.0,30.0,0.0,12.0,11.95,0.0,24.88,0.0,0.0,0.0,0.0,0.0
80,2022-04-08,33.95,37.75,37.62,34.17,25.73,22.12,0.0,12.33,12.12,0.0,10.38,13.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2022-04-10,5.85,0.0,0.0,0.0,0.0,23.22,0.0,26.28,32.6,0.0,33.05,22.33,25.67,0.0,26.9,12.03,0.0,32.07,0.0,0.0,0.0,0.0,0.0
